vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones
IQ 2019,BRAZO LIMPIAPARABRISAS TRASERO,Brazo Limpiaparabrisas Trasero,Trasera,VENDIDO,SANTIAGO,25000,15000,,PUESTO EN PORTALÓN,
IQ 2019,CADENA DE TIEMPO MOTOR ,Cadena De Tiempo Motor ,,DISPONIBLE,SANTIAGO,25000,20000,,,
IQ 2019,CAJA DE CAMBIOS,Caja De Cambios,,VENDIDO,SANTIAGO,450000,400000,,,
IQ 2019,CALIPER DELANTERO LH,Caliper Delantero,Delantera Izquierda,VENDIDO,SANTIAGO,35700,30000,,,
IQ 2019,CALIPER DELANTERO RH,Caliper Delantero,Delantera Derecha,VENDIDO,SANTIAGO,35700,30000,,,
IQ 2019,CAÑERÍA DE AIRE 1,Cañería De Aire 1,,DISPONIBLE,SANTIAGO,35700,30000,,,
IQ 2019,CAÑERÍA DE AIRE 2,Cañería De Aire 2,,DISPONIBLE,SANTIAGO,35700,30000,,,
IQ 2019,CAÑERÍA DE AIRE 3,Cañería De Aire 3,,DISPONIBLE,SANTIAGO,35700,30000,,,
IQ 2019,CAÑERÍA DE BOMBA DE AGUA,Cañería De Bomba De Agua,,VENDIDO,SANTIAGO,35000,30000,,ANGEEL,
IQ 2019,CAÑERÍA HIDRÁULICA ,Cañería Hidráulica ,,DISPONIBLE,SANTIAGO,35700,30000,,,
IQ 2019,CAPOT,Capot,,VENDIDO,SANTIAGO,110000,100000,,,
IQ 2019,CARTER,Carter,,DISPONIBLE,SANTIAGO,,,,,
IQ 2019,CATALÍTICO ,Catalítico ,,DISPONIBLE,SANTIAGO,50000,45000,,,
IQ 2019,CHAPA CAPOT,Chapa Capot,,DISPONIBLE,SANTIAGO,,,,,
IQ 2019,CHAPA CON CILINDRO PUERTA DELANTERA LH,Chapa Con Cilindro Puerta Delantera,Delantera Izquierda,DISPONIBLE,,15000,10000,,,Sin ubicación
IQ 2019,CHAPA DE CONTACTO ,Chapa De Contacto ,,DISPONIBLE,SANTIAGO,45000,40000,,,
IQ 2019,CHAPA PORTALÓN ,Chapa Portalón ,,DISPONIBLE,SANTIAGO,35000,30000,,,
IQ 2019,CHAPA PUERTA TRASERA LH,Chapa Puerta Trasera,Trasera Izquierda,DISPONIBLE,,25000,20000,,,Sin ubicación
IQ 2019,CHAPA PUERTA TRASERA RH,Chapa Puerta Trasera,Trasera Derecha,VENDIDO,SANTIAGO,45000,40000,,,
IQ 2019,CIGUEÑAL,Cigueñal,,DISPONIBLE,SANTIAGO,,,,,
