vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
SM3 2011,BOMBA DE PEDAL DE EMBRAGUE,Bomba DE Pedal DE Embrague,,DISPONIBLE,REVISADO,0,0,,,BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,a52d80311b8dd4065c928746b8a81f18e4a014e3819d6822641b6d5fbd8b8ee8,65,SI
SM3 2011,BOMBA HIDRÁULICA CON BASE Y TENSOR,Bomba Hidráulica CON BASE Y Tensor,,DISPONIBLE,REVISADO,0,0,,,TENSOR mal escrito (debería ser TENSOR); BOMBA mal escrito (debería ser BOMBA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,8f694ad62a8c4282bca12e839647c364c1c0bb1f3ab60b18fab8f55047edddc3,65,SI
SM3 2011,BOTÓN ALZAVIDRIOS PUERTA DELANTERA RH,Botón Alzavidrios Puerta,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,412cdf30ae7b944e844a8b2fcd972bcfaf5fbec08511165b0d2b0618ba43ea40,75,NO
SM3 2011,BOTÓN ALZAVIDRIOS PUERTA TRASERA RH,Botón Alzavidrios Puerta,Derecha Trasera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,df6a72e9c50de31858c96d426ac7cb796605d77a08c09001af33f2bcb94e50a1,75,NO
SM3 2011,BOTÓN DE ALZAVIDRIOS TRASERA LH,Botón DE Alzavidrios,Izquierda Trasera,DISPONIBLE,REVISADO,0,0,,,Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,f86ccfc265612ace3846673af8f1d0660eb523c7a0d903e5c19695a2faf4b09f,75,NO
SM3 2011,BOTONERA DE ALZAVIDRIOS DELANTERA IZQUIERDA,Botonera DE Alzavidrios,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición IZQUIERDA detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,d8a6153ea3fa4ce3beb77ceab13880519c75847afbe1c5bb6807933cc4a71ad7,75,NO
SM3 2011,BSI,BSI,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,7dc2b3fc787cba78c261ff3478f6f38990bf190fe9818eec87226c51e58f0839,75,NO
SM3 2011,CAJA,CAJA,,VENDIDO,REVISADO,230000.0,230000.0,,,,2025-09-20 02:14:41,f5a4125e91c754bc0a465d56fd12e01ca96f0e6a145e300c2acf2a549c8426b0,100,NO
SM3 2011,CALIPER DELANTERO IZQUIERDO,Caliper,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,Posición IZQUIERDO detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,b4ddc533c029a2aa8a44be6d9919e43ffe373686b72161cb58e53e45b5529ee6,75,NO
SM3 2011,CALIPER DELANTERO RH,Caliper,Derecha Delantera,DISPONIBLE,REVISADO,0,0,,,Posición RH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,39d0a015c15b4f1261538950485fd60c6a04803379f5cb2ce4b198b4ae255003,75,NO
